DRUH,ID_IND,KOMPILACE,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN,pozn,...9,LIM_INDLIST
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,5-25 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Angelica palustris,POP_POCET,dplyr::case_when(,min,100,poèet prýtù,ano,lok,NA,NA,alespoò 100 poèet prýtù
Angelica palustris,POP_POSKPERC,dplyr::case_when(,max,1,poèet prýtù,ne,lok,NA,NA,nejvýš 1 poèet prýtù
Angelica palustris,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,NA,nejvýš 2 poèet typù poškození rostlin
Angelica palustris,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Angelica palustris,POP_VITAL,POP_POCETVITAL/POP_POCET*100) %>%,min,20,% poètu prýtù,ano,lok,NA,NA,alespoò 20 % poètu prýtù
Angelica palustris,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,5-25 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,5-25 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,5-25 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Angelica palustris,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Asplenium adulterinum,POP_POCET,dplyr::case_when(,min,25,poèet trsù,ano,lok,NA,NA,alespoò 25 poèet trsù
Asplenium adulterinum,POP_POSKPERC,dplyr::case_when(,max,1,poèet trsù,ne,lok,NA,NA,nejvýš 1 poèet trsù
Asplenium adulterinum,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,"vždy pøechází hodnota ""2"" i když to není pravda. Píše se to i u PøL, kde je 0 anebo 1 poškození",nejvýš 2 poèet typù poškození rostlin
Asplenium adulterinum,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Asplenium adulterinum,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Asplenium adulterinum,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Asplenium adulterinum,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Asplenium adulterinum,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Asplenium adulterinum,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Asplenium adulterinum,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Asplenium adulterinum,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Asplenium adulterinum,STA_ZASTINENICELK,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_ZASTINENICELK>).*(?=</STA_ZASTINENICELK>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Asplenium adulterinum,STA_ZASTINENICELK,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_ZASTINENICELK>).*(?=</STA_ZASTINENICELK>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Campanula bohemica,POP_POCET,dplyr::case_when(,min,100,kvetoucí a plodné trsy,ano,lok,NA,NA,alespoò 100 kvetoucí a plodné trsy
Campanula bohemica,POP_POSKPERC,dplyr::case_when(,max,1,poèet jedincù,ne,lok,NA,NA,nejvýš 1 poèet jedincù
Campanula bohemica,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,NA,nejvýš 2 poèet typù poškození rostlin
Campanula bohemica,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Campanula bohemica,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %"
Campanula bohemica,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %"
Campanula bohemica,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,25-50 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %"
Campanula bohemica,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Campanula bohemica,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Campanula bohemica,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Campanula bohemica,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Campanula bohemica,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Campanula gelida,POP_POCET,dplyr::case_when(,min,60,poèet trsù,ano,lok,NA,NA,alespoò 60 poèet trsù
Campanula gelida,POP_POSKPERC,dplyr::case_when(,max,1,poèet jedincù,ne,lok,NA,NA,nejvýš 1 poèet jedincù
Campanula gelida,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,NA,nejvýš 2 poèet typù poškození rostlin
Campanula gelida,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Campanula gelida,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Campanula gelida,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Campanula gelida,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Campanula gelida,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Campanula gelida,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,25-50 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Campanula gelida,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,50-75 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cerastium alsinifolium,POP_PLOCHA,dplyr::case_when(,min,100,dm2,ano,lok,NA,NA,alespoò 100 dm2
Cerastium alsinifolium,POP_POSKPERC,dplyr::case_when(,max,1,èisté plochy populace,ne,lok,NA,NA,nejvýš 1 èisté plochy populace
Cerastium alsinifolium,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,"vždy pøechází hodnota ""2"" i když to není pravda. Píše se to i u PøL, kde je 0 anebo 1 poškození",nejvýš 2 poèet typù poškození rostlin
Cerastium alsinifolium,POP_TREND,sum(,max,1,posledních dvou let s menší plochou než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menší plochou než je referenèní hodnota
Cerastium alsinifolium,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Cerastium alsinifolium,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Cerastium alsinifolium,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cerastium alsinifolium,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cerastium alsinifolium,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,25-50 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cerastium alsinifolium,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,50-75 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cerastium alsinifolium,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Cerastium alsinifolium,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Cerastium alsinifolium,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Cerastium alsinifolium,STA_ZASTINENICELK,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_ZASTINENICELK>).*(?=</STA_ZASTINENICELK>)"")),",val,0,NA,ne,lok,nový parametr,NA,"0, do 25 %"
Cerastium alsinifolium,STA_ZASTINENICELK,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_ZASTINENICELK>).*(?=</STA_ZASTINENICELK>)"")),",val,do 25 %,NA,ne,lok,nový parametr,NA,"0, do 25 %"
Cirsium brachycephalum,POP_POCET,dplyr::case_when(,min,100,kvetoucí a plodní jedinci,ano,lok,NA,"nezjištìno = 1, 1 poškození = 2, 2 poškození = 3; tzn. automaticky to vždy pøièítá jedno poškození navíc",alespoò 100 kvetoucí a plodní jedinci
Cirsium brachycephalum,POP_POSKPERC,dplyr::case_when(,max,1,poèet kvetoucích a plodných trsù,ne,lok,NA,NA,nejvýš 1 poèet kvetoucích a plodných trsù
Cirsium brachycephalum,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,NA,nejvýš 2 poèet typù poškození rostlin
Cirsium brachycephalum,POP_TREND,sum(,max,1,posledních dvou let s menším poètem kvetoucích a plodných jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem kvetoucích a plodných jedincù než je referenèní hodnota
Cirsium brachycephalum,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Cirsium brachycephalum,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Cirsium brachycephalum,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Cirsium brachycephalum,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Cirsium brachycephalum,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Cirsium brachycephalum,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Cirsium brachycephalum,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Coleanthus subtilis,POP_POCETNOST,max(,min,4,kategorie relativní poèetnosti,ano,lok,NA,NA,alespoò 4 kategorie relativní poèetnosti
Coleanthus subtilis,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Coleanthus subtilis,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Coleanthus subtilis,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Coleanthus subtilis,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Cypripedium calceolus,POP_POCET,dplyr::case_when(,min,6,trsy,ano,lok,NA,NA,alespoò 6 trsy
Cypripedium calceolus,POP_POSKPERC,dplyr::case_when(,max,1,kategorie relativní poèetnosti,ne,lok,NA,NA,nejvýš 1 kategorie relativní poèetnosti
Cypripedium calceolus,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,NA,nejvýš 2 poèet typù poškození rostlin
Cypripedium calceolus,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Cypripedium calceolus,POP_VITAL,POP_POCETVITAL/POP_POCET*100) %>%,min,40,kvetoucí a plodné trsy,ano,lok,NA,NA,alespoò 40 kvetoucí a plodné trsy
Cypripedium calceolus,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,25-50 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,50-75 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,25-50 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,50-75 %,NA,ne,lok,NA,NA,"0, do 25 %, 25-50 %, 50-75 %"
Cypripedium calceolus,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 25 %"
Cypripedium calceolus,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,do 25 %,NA,ne,lok,NA,NA,"0, do 25 %"
Cypripedium calceolus,STA_POKRYVNOSTINVAZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,0
Dianthus arenarius subsp. bohemicus,POP_POCET,dplyr::case_when(,min,5000,trsy,ano,lok,NA,NA,alespoò 5000 trsy
Dianthus arenarius subsp. bohemicus,POP_POSKPERC,dplyr::case_when(,max,1,poèet trsù,ne,lok,NA,NA,nejvýš 1 poèet trsù
Dianthus arenarius subsp. bohemicus,POP_POSKPOC,dplyr::case_when(,max,2,poèet typù poškození rostlin,ne,lok,NA,NA,nejvýš 2 poèet typù poškození rostlin
Dianthus arenarius subsp. bohemicus,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Dianthus arenarius subsp. bohemicus,POP_VITAL,POP_POCETVITAL/POP_POCET*100) %>%,min,30,NA,ano,lok,NA,NA,alespoò 30 NA
Dianthus arenarius subsp. bohemicus,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 5 %"
Dianthus arenarius subsp. bohemicus,STA_POKRDREV,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTDREVIN>).*(?=</STA_POKRYVNOSTDREVIN>)"")),",val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %"
Dianthus arenarius subsp. bohemicus,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
Dianthus arenarius subsp. bohemicus,STA_POKRSTAR,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTSTARINA>).*(?=</STA_POKRYVNOSTSTARINA>)"")),",val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
