"SITECODE","NAZEV","HABITAT_CODE","DATE_MIN","DATE_MAX","indikator","value"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","DEGREE_OF_CONSERVATION","100"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","MRTVE_DREVO",NA
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","KALAMITA_POLOM",NA
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","EVL_AREA_PERC","48.9983"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","GOOD_DOC_AREA_HA","18.2551"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","W_AREA_HA","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","W_AREA_PERC","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","PASEKY_AREA_HA","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","PASEKY_AREA_PERC","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","DEGRAD_AREA_HA","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","DEGRAD_AREA_PERC","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","PERC_0","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","PERC_1","0"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","PERC_2","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","ROZLOHA","4.8364"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","KVALITA","2"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","TYPICKE_DRUHY","2"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","REPRE","2"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","REPRE_SDF","2"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","CONSERVATION","2"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","DEGREE_OF_CONSERVATION","100"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","MRTVE_DREVO",NA
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","KALAMITA_POLOM",NA
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","EVL_AREA_PERC","12.9813"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","GOOD_DOC_AREA_HA","4.8364"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","W_AREA_HA","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","W_AREA_PERC","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","PASEKY_AREA_HA","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","PASEKY_AREA_PERC","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","DEGRAD_AREA_HA","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","DEGRAD_AREA_PERC","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","PERC_0","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","PERC_1","0"
1183,"Velký vrch u Vršovic","91I0","2024-05-24","2024-05-24","PERC_2","0"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","ROZLOHA","2.9162"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","KVALITA","1.5084"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","TYPICKE_DRUHY","1.5084"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","REPRE","2"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","REPRE_SDF","1.5084"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","CONSERVATION","1.5084"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","DEGREE_OF_CONSERVATION","100"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","MRTVE_DREVO",NA
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","KALAMITA_POLOM",NA
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","EVL_AREA_PERC","7.8274"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","GOOD_DOC_AREA_HA","2.9162"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","W_AREA_HA","0"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","W_AREA_PERC","0"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","PASEKY_AREA_HA",NA
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","PASEKY_AREA_PERC",NA
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","DEGRAD_AREA_HA","0"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","DEGRAD_AREA_PERC","0"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","PERC_0","0"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","PERC_1","0"
1183,"Velký vrch u Vršovic","6210","2021-06-04","2025-05-16","PERC_2","0"
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"ROZLOHA","0"
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"KVALITA",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"TYPICKE_DRUHY",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"REPRE",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"REPRE_SDF",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"CONSERVATION",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"DEGREE_OF_CONSERVATION",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"MRTVE_DREVO",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"KALAMITA_POLOM",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"EVL_AREA_PERC",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"GOOD_DOC_AREA_HA",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"W_AREA_HA","0"
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"W_AREA_PERC",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"PASEKY_AREA_HA",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"PASEKY_AREA_PERC",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"DEGRAD_AREA_HA","0"
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"DEGRAD_AREA_PERC",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"PERC_0",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"PERC_1",NA
1183,"Velký vrch u Vršovic","T3.3D",NA,NA,"PERC_2",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"ROZLOHA","0"
1183,"Velký vrch u Vršovic","K3",NA,NA,"KVALITA",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"TYPICKE_DRUHY",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"REPRE",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"REPRE_SDF",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"CONSERVATION",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"DEGREE_OF_CONSERVATION",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"MRTVE_DREVO",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"KALAMITA_POLOM",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"EVL_AREA_PERC",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"GOOD_DOC_AREA_HA",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"W_AREA_HA","0"
1183,"Velký vrch u Vršovic","K3",NA,NA,"W_AREA_PERC",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"PASEKY_AREA_HA",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"PASEKY_AREA_PERC",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"DEGRAD_AREA_HA","0"
1183,"Velký vrch u Vršovic","K3",NA,NA,"DEGRAD_AREA_PERC",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"PERC_0",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"PERC_1",NA
1183,"Velký vrch u Vršovic","K3",NA,NA,"PERC_2",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"ROZLOHA","0"
5874,"Hodonínská Dúbrava","V2",NA,NA,"KVALITA",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"TYPICKE_DRUHY",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"REPRE",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"REPRE_SDF",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"CONSERVATION",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"DEGREE_OF_CONSERVATION",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"MRTVE_DREVO",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"KALAMITA_POLOM",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"EVL_AREA_PERC",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"GOOD_DOC_AREA_HA",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"W_AREA_HA","0"
5874,"Hodonínská Dúbrava","V2",NA,NA,"W_AREA_PERC",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"PASEKY_AREA_HA",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"PASEKY_AREA_PERC",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"DEGRAD_AREA_HA","0"
5874,"Hodonínská Dúbrava","V2",NA,NA,"DEGRAD_AREA_PERC",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"PERC_0",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"PERC_1",NA
5874,"Hodonínská Dúbrava","V2",NA,NA,"PERC_2",NA
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","ROZLOHA","19.2981"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","KVALITA","2.6525"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","TYPICKE_DRUHY","2.201"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","REPRE","1.089"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","REPRE_SDF","2.8503"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","CONSERVATION","2.3262"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","DEGREE_OF_CONSERVATION","67.3769"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","MRTVE_DREVO",NA
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","KALAMITA_POLOM",NA
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","EVL_AREA_PERC","2.8247"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","GOOD_DOC_AREA_HA","13.0025"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","W_AREA_HA","4.9222"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","W_AREA_PERC","25.5064"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","PASEKY_AREA_HA","0"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","PASEKY_AREA_PERC","0"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","DEGRAD_AREA_HA","4.9222"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","DEGRAD_AREA_PERC","25.5064"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","PERC_0","0"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","PERC_1","5.3999"
5874,"Hodonínská Dúbrava","91E0","2007-06-10","2024-10-15","PERC_2","94.6001"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","ROZLOHA","68.2142"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","KVALITA","2.4567"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","TYPICKE_DRUHY","2.6923"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","REPRE","1.0853"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","REPRE_SDF","3.1317"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","CONSERVATION","2.2306"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","DEGREE_OF_CONSERVATION","76.9267"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","MRTVE_DREVO",NA
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","KALAMITA_POLOM",NA
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","EVL_AREA_PERC","9.9848"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","GOOD_DOC_AREA_HA","52.4749"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","W_AREA_HA","10.49"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","W_AREA_PERC","15.378"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","PASEKY_AREA_HA","1.0629"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","PASEKY_AREA_PERC","1.5581"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","DEGRAD_AREA_HA","11.5528"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","DEGRAD_AREA_PERC","16.9361"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","PERC_0","0"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","PERC_1","27.3682"
5874,"Hodonínská Dúbrava","91G0","2008-07-13","2024-10-15","PERC_2","71.0737"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","ROZLOHA","437.4144"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","KVALITA","2.3483"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","TYPICKE_DRUHY","1.6886"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","REPRE","1.312"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","REPRE_SDF","2.1251"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","CONSERVATION","2.1141"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","DEGREE_OF_CONSERVATION","69.7718"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","MRTVE_DREVO",NA
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","KALAMITA_POLOM",NA
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","EVL_AREA_PERC","64.0258"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","GOOD_DOC_AREA_HA","309.0912"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","W_AREA_HA","66.0372"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","W_AREA_PERC","15.0972"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","PASEKY_AREA_HA","25.8511"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","PASEKY_AREA_PERC","5.91"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","DEGRAD_AREA_HA","91.8883"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","DEGRAD_AREA_PERC","21.0072"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","PERC_0","0"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","PERC_1","35.8358"
5874,"Hodonínská Dúbrava","91I0","2007-06-03","2024-10-15","PERC_2","58.2542"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","ROZLOHA","4.548"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","KVALITA","1.3168"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","TYPICKE_DRUHY","1.3168"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","REPRE","2"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","REPRE_SDF","1.3168"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","CONSERVATION","1.3168"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","DEGREE_OF_CONSERVATION","100"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","MRTVE_DREVO",NA
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","KALAMITA_POLOM",NA
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","EVL_AREA_PERC","35.0032"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","GOOD_DOC_AREA_HA","4.548"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","W_AREA_HA","0"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","W_AREA_PERC","0"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","PASEKY_AREA_HA",NA
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","PASEKY_AREA_PERC",NA
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","DEGRAD_AREA_HA","0"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","DEGRAD_AREA_PERC","0"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","PERC_0","0"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","PERC_1","0"
2213,"Tøtìnské stránì","6210","2013-07-16","2013-07-16","PERC_2","100"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","ROZLOHA","0.2891"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","KVALITA","2"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","TYPICKE_DRUHY","2"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","REPRE","2"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","REPRE_SDF","2"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","CONSERVATION","2"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","DEGREE_OF_CONSERVATION","100"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","MRTVE_DREVO",NA
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","KALAMITA_POLOM",NA
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","EVL_AREA_PERC","2.225"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","GOOD_DOC_AREA_HA","0.2891"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","W_AREA_HA","0"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","W_AREA_PERC","0"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","PASEKY_AREA_HA",NA
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","PASEKY_AREA_PERC",NA
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","DEGRAD_AREA_HA","0"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","DEGRAD_AREA_PERC","0"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","PERC_0","0"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","PERC_1","0"
2213,"Tøtìnské stránì","1340","2013-07-16","2013-07-16","PERC_2","100"
